역명,주소
장승배기,서울특별시 동작구 상도2동386
종로3가,서울특별시 종로구 돈의동46
대림,서울특별시 구로구 구로동1204
한성대입구,서울특별시 성북구 삼선동1가14
덕정,경기도 양주시 덕정동
대흥,서울특별시 마포구 대흥동267
길음,서울특별시 성북구 길음1동877-66
녹사평,서울특별시 용산구 용산동4가4
경복궁,서울특별시 종로구 적선동81-1
정부과천청사,경기도 과천시 별양동1
남구로,서울특별시 구로구 구로동800
남성,서울특별시 동작구 사당동250
역촌,서울특별시 은평구 녹번동144-69
홍제,서울특별시 서대문구 홍제동330-66
별내,경기도 남양주시 별내동182-5
중계,서울특별시 노원구 중계3동512
까치울,경기도 부천시 원미구 길주로 지하 626 626
종각,서울특별시 종로구 종로1가44
구의,서울특별시 광진구 구의동245-24
상동,경기도 부천시 원미구 길주로 지하104
압구정,서울특별시 강남구 압구정동668
인천,인천광역시 중구 인현동1-1
오이도,경기도 시흥시 정왕동878
합정,서울특별시 마포구 서교동393
교대,서울특별시 서초구 서초1동1715-9
녹천,서울특별시 도봉구 창4동38
선바위,경기도 과천시 과천동351-7
삼송,경기도 고양시 덕양구 삼송동20-14
시청,서울특별시 중구 태평로1가31
충정로,서울특별시 서대문구 충정로3가 295-60
양재,서울특별시 서초구 양재1동27-2
남태령,서울특별시 서초구 방배2동2909
월계,서울특별시 노원구 월계4동261
면목,서울특별시 중랑구 면목동120
공덕,서울 마포구 공덕동423
천왕,서울특별시 구로구 오류동174
수진,경기도 성남시 수정구 수진1동2204
금호,서울특별시 성동구 금호동4가1470
삼성,서울특별시 강남구 삼성동172-82
동구릉,경기도 구리시 인창동
노량진,서울특별시 동작구 노량진동44-1
홍대입구,서울특별시 마포구 동교동165
도화,인천광역시 남구 도화1동
목동,서울특별시 양천구 목1동925
신사,서울특별시 강남구 신사동501
약수,서울특별시 중구 신당3동373-13
용마산,서울특별시 중랑구 면목4동산76-1
신도림,서울특별시 구로구 신도림동460-26
여의나루,서울특별시 영등포구 여의도동85-1
양주,경기도 양주시 남방동1
주엽,경기도 고양시 일산구 주엽동166
용산,서울특별시 용산구 한강로3가40-11
부개,인천광역시 부평구 부개동468
역삼,서울특별시 강남구 역삼1동737
지축,경기도 고양시 덕양구 지축동695-8
제물포,인천광역시 남구 도화1동649-9
오금,서울특별시 송파구 오금동44-2
평촌,경기도 안양시 동안구 부림동1608
